Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Arecanut,2016,Kharif     ,Andhra Pradesh,564,2367,890,86433,197.4,3.9125
Arhar/Tur,2016,Kharif     ,Andhra Pradesh,342883,129160,890,52546819.75,120009.05,0.493076923
Arhar/Tur,2016,Rabi       ,Andhra Pradesh,6555,3818,890,1004553.75,2294.25,0.481818182
Bajra,2016,Kharif     ,Andhra Pradesh,38762,67598,890,5940276.5,13566.7,1.744545455
Bajra,2016,Rabi       ,Andhra Pradesh,3124,4355,890,478753,1093.4,1.827142857
Banana,2016,Whole Year ,Andhra Pradesh,55743,2303705,890,8542614.75,19510.05,41.42769231
Cashewnut,2016,Kharif     ,Andhra Pradesh,111894,48288,890,17147755.5,39162.9,0.445833333
Castor seed,2016,Kharif     ,Andhra Pradesh,32292,15195,890,4948749,11302.2,0.511111111
Castor seed,2016,Rabi       ,Andhra Pradesh,527,274,890,80762.75,184.45,0.52
Coconut ,2016,Whole Year ,Andhra Pradesh,102548,1415300000,890,15715481,35891.8,13934.1225
Coriander,2016,Kharif     ,Andhra Pradesh,8,1,890,1226,2.8,0.13
Coriander,2016,Rabi       ,Andhra Pradesh,4295,2368,890,658208.75,1503.25,0.536666667
Cotton(lint),2016,Kharif     ,Andhra Pradesh,463437,1544526,890,71021720.25,162202.95,2.633076923
Cotton(lint),2016,Rabi       ,Andhra Pradesh,8092,19547,890,1240099,2832.2,2.201428571
Cowpea(Lobia),2016,Kharif     ,Andhra Pradesh,3780,1966,890,579285,1323,0.491428571
Cowpea(Lobia),2016,Rabi       ,Andhra Pradesh,5039,3379,890,772226.75,1763.65,0.585
Dry chillies,2016,Kharif     ,Andhra Pradesh,169242,866649,890,25936336.5,59234.7,4.829090909
Dry chillies,2016,Rabi       ,Andhra Pradesh,40105,164689,890,6146091.25,14036.75,3.75
Ginger,2016,Kharif     ,Andhra Pradesh,285,752,890,43676.25,99.75,2.288
Ginger,2016,Rabi       ,Andhra Pradesh,4,11,890,613,1.4,2.75
Gram,2016,Kharif     ,Andhra Pradesh,5,2,890,766.25,1.75,0.4
Gram,2016,Rabi       ,Andhra Pradesh,397083,381035,890,60852969.75,138979.05,1.21
Groundnut,2016,Kharif     ,Andhra Pradesh,933233,390732,890,143017957.3,326631.55,1.705384615
Groundnut,2016,Rabi       ,Andhra Pradesh,79576,211999,890,12195022,27851.6,2.804615385
Guar seed,2016,Rabi       ,Andhra Pradesh,42,80,890,6436.5,14.7,1.9
Horse-gram,2016,Kharif     ,Andhra Pradesh,1411,182,890,216235.75,493.85,0.155
Horse-gram,2016,Rabi       ,Andhra Pradesh,11425,5666,890,1750881.25,3998.75,0.461666667
Jowar,2016,Kharif     ,Andhra Pradesh,14260,20475,890,2185345,4991,1.293846154
Jowar,2016,Rabi       ,Andhra Pradesh,83139,177852,890,12741051.75,29098.65,2.297
Linseed,2016,Kharif     ,Andhra Pradesh,219,106,890,33561.75,76.65,0.48
Maize,2016,Kharif     ,Andhra Pradesh,85501,354764,890,13103028.25,29925.35,3.907692308
Maize,2016,Rabi       ,Andhra Pradesh,164778,1298137,890,25252228.5,57672.3,6.493846154
Mesta,2016,Kharif     ,Andhra Pradesh,6702,63394,890,1027081.5,2345.7,9.31
Moong(Green Gram),2016,Kharif     ,Andhra Pradesh,32294,16742,890,4949055.5,11302.9,0.606923077
Moong(Green Gram),2016,Rabi       ,Andhra Pradesh,102067,49549,890,15641767.75,35723.45,0.458461538
Niger seed,2016,Rabi       ,Andhra Pradesh,5714,2230,890,875670.5,1999.9,0.445
Oilseeds total,2016,Kharif     ,Andhra Pradesh,1198491,2250605,890,183668745.8,419471.85,4.020769231
Oilseeds total,2016,Rabi       ,Andhra Pradesh,133813,240747,890,20506842.25,46834.55,1.706923077
Onion,2016,Kharif     ,Andhra Pradesh,32006,555944,890,4904919.5,11202.1,21.05416667
Onion,2016,Rabi       ,Andhra Pradesh,3511,77209,890,538060.75,1228.85,22.11
Other  Rabi pulses,2016,Rabi       ,Andhra Pradesh,6743,8229,890,1033364.75,2360.05,0.96
Other Kharif pulses,2016,Kharif     ,Andhra Pradesh,3721,2414,890,570243.25,1302.35,0.6775
